,Chi2,p-value,p-value (BH corrected)
DG 30:0,0.0,1.0,1.0
DG 32:0,0.019826555023923303,0.8880225706938752,1.0
DG 32:1,0.6191510695187157,0.4313629288311962,1.0
DG 34:1,0.6191510695187157,0.4313629288311962,1.0
DG 34:3,0.0,1.0,1.0
DG 36:3,0.019826555023923303,0.8880225706938752,1.0
DG 34:2,0.6191510695187157,0.4313629288311962,1.0
DG 36:1,0.6191510695187157,0.4313629288311962,1.0
DG 36:2,0.019826555023923303,0.8880225706938752,1.0
DG 36:4,0.6560478480248406,0.4179586786429723,1.0
CAR 16:0,0.8849484339190227,0.34684991572714086,1.0
CAR 18:1,2.05324901491697,0.15188176923500454,1.0
CAR 18:2,0.0,1.0,1.0
CAR 2:0,0.0,1.0,1.0
CAR 3:0,0.0,1.0,1.0
CAR 8:0,0.0,1.0,1.0
CE 16:1,0.0,1.0,1.0
CE 18:1,0.01087728194726172,0.9169358737195928,1.0
CE 18:2,0.0,1.0,1.0
Cer 34:1;O2,0.09698144326900725,0.7554825391273206,1.0
Cer 40:1;O2,0.25527547143259266,0.6133847093759281,1.0
Cer 41:1;O2,0.019826555023923303,0.8880225706938752,1.0
Cer 42:1;O2,0.0,1.0,1.0
Cer 42:2;O2,0.0,1.0,1.0
Cer 42:3;O2,0.0,1.0,1.0
HEXCER 42:1;O2,0.0,1.0,1.0
HEXCER 42:2;O2,0.2151899111917493,0.6427296629546884,1.0
LPC 13:0,0.6560478480248406,0.4179586786429723,1.0
LPC 14:0,0.0,1.0,1.0
LPC 15:0,0.0,1.0,1.0
LPC 16:0,0.6191510695187157,0.4313629288311962,1.0
LPC 16:1,0.0,1.0,1.0
LPC 17:0,0.6191510695187157,0.4313629288311962,1.0
LPC 18:0,0.6191510695187157,0.4313629288311962,1.0
LPC 18:1,0.019826555023923303,0.8880225706938752,1.0
LPC 18:2,0.0,1.0,1.0
LPC 18:3,0.019826555023923303,0.8880225706938752,1.0
LPC 20:3,0.0,1.0,1.0
LPC 20:4,0.0,1.0,1.0
LPC 20:5,0.0,1.0,1.0
LPC 22:5,0.019826555023923303,0.8880225706938752,1.0
LPC 22:6,0.019826555023923303,0.8880225706938752,1.0
LPC O-16:0,0.6191510695187157,0.4313629288311962,1.0
LPC 16:0/16:1,0.6191510695187157,0.4313629288311962,1.0
LPC 16:1/16:2,2.05324901491697,0.15188176923500454,1.0
LPC 18.0/18:1,0.019826555023923303,0.8880225706938752,1.0
LPC 18:1/18:2,0.019826555023923303,0.8880225706938752,1.0
PC 30:0,1.325497818744724,0.24960774253978762,1.0
PC 32:0,1.325497818744724,0.24960774253978762,1.0
PC 32:1,1.325497818744724,0.24960774253978762,1.0
PC 32:2,0.25527547143259266,0.6133847093759281,1.0
PC 34:0,0.0,1.0,1.0
PC 34:1,1.325497818744724,0.24960774253978762,1.0
PC 34:2,0.25527547143259266,0.6133847093759281,1.0
PC 34:3,0.25527547143259266,0.6133847093759281,1.0
PC 34:4,1.325497818744724,0.24960774253978762,1.0
PC 36:0,0.010664803111327191,0.9177482613300447,1.0
PC 36:1,0.0,1.0,1.0
PC 36:2,0.0,1.0,1.0
PC 36:3,0.25527547143259266,0.6133847093759281,1.0
PC 36:4,1.325497818744724,0.24960774253978762,1.0
PC 36:5,0.0,1.0,1.0
PC 38:2,1.325497818744724,0.24960774253978762,1.0
PC 38:3,0.0,1.0,1.0
PC 38:4,1.325497818744724,0.24960774253978762,1.0
PC 38:5,0.25527547143259266,0.6133847093759281,1.0
PC 38:6,1.325497818744724,0.24960774253978762,1.0
PC 38:7,1.325497818744724,0.24960774253978762,1.0
PC 40:4,0.019826555023923303,0.8880225706938752,1.0
PC 40:5,1.325497818744724,0.24960774253978762,1.0
PC 40:6,0.25527547143259266,0.6133847093759281,1.0
PC 40:7,0.25527547143259266,0.6133847093759281,1.0
PC 40:8,0.25527547143259266,0.6133847093759281,1.0
