,Chi2,p-value,p-value (BH corrected)
DG 30:0,0.0,1.0,1.0
DG 32:0,9.242340225563906,0.002364825341650665,0.1939156780153545
DG 32:1,1.8631122448979591,0.17226603191939072,1.0
DG 34:1,5.747979323308268,0.016507634005564046,0.4512086628187506
DG 34:3,0.0,1.0,1.0
DG 36:3,0.22053571428571378,0.6386320338113531,1.0
DG 34:2,3.0795582706766904,0.07928205591587303,0.7648386570707751
DG 36:1,1.2370770676691718,0.2660351186466848,1.0
DG 36:2,1.2370770676691718,0.2660351186466848,1.0
DG 36:4,1.0532407407407405,0.3047618940366026,1.0
CAR 16:0,0.4478064373897709,0.5033784871225249,1.0
CAR 18:1,1.2370770676691718,0.2660351186466848,1.0
CAR 18:2,0.0,1.0,1.0
CAR 2:0,0.0,1.0,1.0
CAR 3:0,0.0,1.0,1.0
CAR 8:0,0.0,1.0,1.0
CE 16:1,0.06964285714285709,0.7918574908113247,1.0
CE 18:1,1.031829777365492,0.30972929274943684,1.0
CE 18:2,1.2370770676691718,0.2660351186466848,1.0
Cer 34:1;O2,0.07802579365079375,0.7799908372509503,1.0
Cer 40:1;O2,0.0,1.0,1.0
Cer 41:1;O2,0.029934210526315973,0.862639591019358,1.0
Cer 42:1;O2,0.07802579365079375,0.7799908372509503,1.0
Cer 42:2;O2,0.0,1.0,1.0
Cer 42:3;O2,0.0,1.0,1.0
HEXCER 42:1;O2,0.6732142857142852,0.4119332003615974,1.0
HEXCER 42:2;O2,0.3741230867346938,0.5407653657252349,1.0
LPC 13:0,0.0,1.0,1.0
LPC 14:0,1.2370770676691718,0.2660351186466848,1.0
LPC 15:0,0.0,1.0,1.0
LPC 16:0,5.747979323308268,0.016507634005564046,0.4512086628187506
LPC 16:1,1.2370770676691718,0.2660351186466848,1.0
LPC 17:0,0.22053571428571378,0.6386320338113531,1.0
LPC 18:0,3.0795582706766904,0.07928205591587303,0.7648386570707751
LPC 18:1,3.0795582706766904,0.07928205591587303,0.7648386570707751
LPC 18:2,0.22053571428571378,0.6386320338113531,1.0
LPC 18:3,1.2370770676691718,0.2660351186466848,1.0
LPC 20:3,1.2370770676691718,0.2660351186466848,1.0
LPC 20:4,0.22053571428571378,0.6386320338113531,1.0
LPC 20:5,0.0,1.0,1.0
LPC 22:5,0.22053571428571378,0.6386320338113531,1.0
LPC 22:6,0.22053571428571378,0.6386320338113531,1.0
LPC O-16:0,0.22053571428571378,0.6386320338113531,1.0
LPC 16:0/16:1,0.22053571428571378,0.6386320338113531,1.0
LPC 16:1/16:2,3.0795582706766904,0.07928205591587303,0.7648386570707751
LPC 18.0/18:1,0.22053571428571378,0.6386320338113531,1.0
LPC 18:1/18:2,0.22053571428571378,0.6386320338113531,1.0
PC 30:0,0.0,1.0,1.0
PC 32:0,0.6652725563909783,0.41470468054923515,1.0
PC 32:1,0.22053571428571378,0.6386320338113531,1.0
PC 32:2,0.22053571428571378,0.6386320338113531,1.0
PC 34:0,0.0,1.0,1.0
PC 34:1,1.2370770676691718,0.2660351186466848,1.0
PC 34:2,0.0,1.0,1.0
PC 34:3,0.22053571428571378,0.6386320338113531,1.0
PC 34:4,0.0,1.0,1.0
PC 36:0,0.057449494949494986,0.8105735008279215,1.0
PC 36:1,1.2370770676691718,0.2660351186466848,1.0
PC 36:2,0.22053571428571378,0.6386320338113531,1.0
PC 36:3,0.22053571428571378,0.6386320338113531,1.0
PC 36:4,0.6652725563909783,0.41470468054923515,1.0
PC 36:5,0.0,1.0,1.0
PC 38:2,0.0,1.0,1.0
PC 38:3,1.2370770676691718,0.2660351186466848,1.0
PC 38:4,0.6652725563909783,0.41470468054923515,1.0
PC 38:5,0.0,1.0,1.0
PC 38:6,0.0,1.0,1.0
PC 38:7,4.413768796992484,0.035649996457949557,0.7648386570707751
PC 40:4,0.22053571428571378,0.6386320338113531,1.0
PC 40:5,0.0,1.0,1.0
PC 40:6,0.0,1.0,1.0
PC 40:7,0.22053571428571378,0.6386320338113531,1.0
PC 40:8,0.0,1.0,1.0
PC O-32:0,1.2370770676691718,0.2660351186466848,1.0
PC 32:1;O/32:0;P,0.0,1.0,1.0
PC 34:0;O,2.42149014778325,0.11968103486752074,1.0
PC 34:0;P/34:1;O,0.22053571428571378,0.6386320338113531,1.0
PC 34:1;P/34:2;O,0.029934210526315973,0.862639591019358,1.0
PC 36:1;P/36:2;O,0.22053571428571378,0.6386320338113531,1.0
PC 36:2;P/36:3;O,0.029934210526315973,0.862639591019358,1.0
PC 36:3;P/36:3;O,0.6652725563909783,0.41470468054923515,1.0
PC 38:2;P/38:3;O,0.0,1.0,1.0
PC 38:3;P/38:4;O,0.029934210526315973,0.862639591019358,1.0
PC 38:4;P/38:5;O,0.6652725563909783,0.41470468054923515,1.0
PC 40:3;P/40:4;O,0.33370535714285743,0.5634853424983506,1.0
PC 42:3;P/42:4;O,0.057449494949494986,0.8105735008279215,1.0
PE 38:4,0.0,1.0,1.0
PE 36:3;P/36:4;O,0.0,1.0,1.0
PE 38:4;P/38:5;O,0.006109022556390982,0.93770059195896,1.0
SM 32:1;O2,0.0,1.0,1.0
SM 33:1;O2,0.22053571428571378,0.6386320338113531,1.0
SM 34:0;O2,0.0,1.0,1.0
SM 34:1;O2,0.6652725563909783,0.41470468054923515,1.0
SM 34:2;O2,0.22053571428571378,0.6386320338113531,1.0
SM 35:1;O2,0.015353363567649173,0.9013875719995806,1.0
SM 36:0;O2,0.0,1.0,1.0
SM 36:1;O2,0.029934210526315973,0.862639591019358,1.0
SM 36:2;O2,0.029934210526315973,0.862639591019358,1.0
SM 37:1;O2,0.019345238095238138,0.8893812743862388,1.0
SM 38:1;O2,0.029934210526315973,0.862639591019358,1.0
SM 38:2;O2,0.0,1.0,1.0
SM 39:1;O2,0.22053571428571378,0.6386320338113531,1.0
SM 40:0;O2,0.0,1.0,1.0
SM 40:1;O2,0.029934210526315973,0.862639591019358,1.0
SM 40:2;O2,0.029934210526315973,0.862639591019358,1.0
