,Chi2,p-value,p-value (BH corrected)
DG 30:0,1.0532407407407405,0.3047618940366026,1.0
DG 32:0,0.0,1.0,1.0
DG 32:1,0.22053571428571378,0.6386320338113531,1.0
DG 34:1,0.22053571428571378,0.6386320338113531,1.0
DG 34:3,0.050781250000000035,0.8217093743039579,1.0
DG 36:3,0.0,1.0,1.0
DG 34:2,1.2370770676691718,0.2660351186466848,0.948473031696876
DG 36:1,1.2370770676691718,0.2660351186466848,0.948473031696876
DG 36:2,0.0,1.0,1.0
DG 36:4,0.0,1.0,1.0
CAR 16:0,0.0,1.0,1.0
CAR 18:1,0.0,1.0,1.0
CAR 18:2,0.0,1.0,1.0
CAR 2:0,0.0,1.0,1.0
CAR 3:0,0.0,1.0,1.0
CAR 8:0,0.0,1.0,1.0
CE 16:1,0.4234605911330053,0.5152153080626902,1.0
CE 18:1,0.0,1.0,1.0
CE 18:2,0.22053571428571378,0.6386320338113531,1.0
Cer 34:1;O2,0.006109022556390982,0.93770059195896,1.0
Cer 40:1;O2,0.22053571428571378,0.6386320338113531,1.0
Cer 41:1;O2,1.2370770676691718,0.2660351186466848,0.948473031696876
Cer 42:1;O2,0.0,1.0,1.0
Cer 42:2;O2,0.0,1.0,1.0
Cer 42:3;O2,0.006109022556390982,0.93770059195896,1.0
HEXCER 42:1;O2,0.0,1.0,1.0
HEXCER 42:2;O2,0.0,1.0,1.0
LPC 13:0,0.5223214285714285,0.4698531031018389,1.0
LPC 14:0,1.2370770676691718,0.2660351186466848,0.948473031696876
LPC 15:0,0.0,1.0,1.0
LPC 16:0,0.22053571428571378,0.6386320338113531,1.0
LPC 16:1,1.2370770676691718,0.2660351186466848,0.948473031696876
LPC 17:0,0.22053571428571378,0.6386320338113531,1.0
LPC 18:0,0.0,1.0,1.0
LPC 18:1,3.0795582706766904,0.07928205591587303,0.948473031696876
LPC 18:2,0.22053571428571378,0.6386320338113531,1.0
LPC 18:3,1.2370770676691718,0.2660351186466848,0.948473031696876
LPC 20:3,0.22053571428571378,0.6386320338113531,1.0
LPC 20:4,0.0,1.0,1.0
LPC 20:5,0.0,1.0,1.0
LPC 22:5,0.0,1.0,1.0
LPC 22:6,0.22053571428571378,0.6386320338113531,1.0
LPC O-16:0,0.029934210526315973,0.862639591019358,1.0
LPC 16:0/16:1,0.029934210526315973,0.862639591019358,1.0
LPC 16:1/16:2,1.2370770676691718,0.2660351186466848,0.948473031696876
LPC 18.0/18:1,0.05027692895339962,0.82258209558989,1.0
LPC 18:1/18:2,0.005677406832298096,0.9399373789042087,1.0
PC 30:0,1.2370770676691718,0.2660351186466848,0.948473031696876
PC 32:0,1.2370770676691718,0.2660351186466848,0.948473031696876
PC 32:1,3.0795582706766904,0.07928205591587303,0.948473031696876
PC 32:2,3.0795582706766904,0.07928205591587303,0.948473031696876
PC 34:0,0.0,1.0,1.0
PC 34:1,5.747979323308268,0.016507634005564046,0.948473031696876
PC 34:2,1.2370770676691718,0.2660351186466848,0.948473031696876
PC 34:3,5.747979323308268,0.016507634005564046,0.948473031696876
PC 34:4,1.2370770676691718,0.2660351186466848,0.948473031696876
PC 36:0,0.6022058823529409,0.4377376176153639,1.0
PC 36:1,1.2370770676691718,0.2660351186466848,0.948473031696876
PC 36:2,1.2370770676691718,0.2660351186466848,0.948473031696876
PC 36:3,1.2370770676691718,0.2660351186466848,0.948473031696876
PC 36:4,3.0795582706766904,0.07928205591587303,0.948473031696876
PC 36:5,1.2370770676691718,0.2660351186466848,0.948473031696876
PC 38:2,0.0,1.0,1.0
PC 38:3,0.22053571428571378,0.6386320338113531,1.0
PC 38:4,0.22053571428571378,0.6386320338113531,1.0
PC 38:5,3.0795582706766904,0.07928205591587303,0.948473031696876
PC 38:6,1.2370770676691718,0.2660351186466848,0.948473031696876
PC 38:7,3.0795582706766904,0.07928205591587303,0.948473031696876
PC 40:4,1.2370770676691718,0.2660351186466848,0.948473031696876
PC 40:5,3.0795582706766904,0.07928205591587303,0.948473031696876
PC 40:6,1.2370770676691718,0.2660351186466848,0.948473031696876
PC 40:7,3.0795582706766904,0.07928205591587303,0.948473031696876
PC 40:8,1.2370770676691718,0.2660351186466848,0.948473031696876
PC O-32:0,0.22053571428571378,0.6386320338113531,1.0
PC 32:1;O/32:0;P,1.2370770676691718,0.2660351186466848,0.948473031696876
PC 34:0;O,0.0,1.0,1.0
PC 34:0;P/34:1;O,0.0,1.0,1.0
PC 34:1;P/34:2;O,0.0,1.0,1.0
PC 36:1;P/36:2;O,1.2370770676691718,0.2660351186466848,0.948473031696876
PC 36:2;P/36:3;O,0.0,1.0,1.0
PC 36:3;P/36:3;O,0.22053571428571378,0.6386320338113531,1.0
PC 38:2;P/38:3;O,0.22053571428571378,0.6386320338113531,1.0
PC 38:3;P/38:4;O,1.2370770676691718,0.2660351186466848,0.948473031696876
PC 38:4;P/38:5;O,0.22053571428571378,0.6386320338113531,1.0
PC 40:3;P/40:4;O,0.029934210526315973,0.862639591019358,1.0
PC 42:3;P/42:4;O,0.0,1.0,1.0
PE 38:4,0.0,1.0,1.0
PE 36:3;P/36:4;O,0.0,1.0,1.0
PE 38:4;P/38:5;O,0.007204433497536895,0.9323576392883465,1.0
SM 32:1;O2,0.22053571428571378,0.6386320338113531,1.0
SM 33:1;O2,1.2370770676691718,0.2660351186466848,0.948473031696876
