,Chi2,p-value,p-value (BH corrected)
DG,0.22053571428571378,0.6386320338113531,0.9934276081509937
CAR,0.22053571428571378,0.6386320338113531,0.9934276081509937
CE,1.2370770676691718,0.2660351186466848,0.6207486101755978
Cer,0.0,1.0,1.0
Chol,0.029934210526315973,0.862639591019358,1.0
HexCer,2.126550751879701,0.14476619644361308,0.6207486101755978
LPC,1.2370770676691718,0.2660351186466848,0.6207486101755978
PC,0.0,1.0,1.0
PE,0.029934210526315973,0.862639591019358,1.0
SM,0.029934210526315973,0.862639591019358,1.0
TG,3.0795582706766904,0.07928205591587303,0.619370379372841
FA,0.22053571428571378,0.6386320338113531,0.9934276081509937
PI,1.2370770676691718,0.2660351186466848,0.6207486101755978
Sex vs Severity,2.901785714285715,0.0884814827675487,0.619370379372841
